,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2062,2.9553643958207707,2.7463862717461986,2.633885923713341,,2.0604790599911524,3.047330758486884,4.1645213190475845,3.094084930721541,3.108742640063715,2.3085452602539127,2.360083540375347,3.3533935546875,3.532916654727965,1.937895400777928,,2.465266191843066,2.5658955166192023
tas,2063,3.100464703009114,2.679685548787172,2.676677847530423,,1.9376329950902307,2.9619183535348506,4.288965107115558,2.9631542454217388,3.1653511387743456,2.347527317672776,2.4105642105621903,3.5299556255340576,3.7336605477065965,1.9944673181869585,,2.3256816110004386,2.505555367960497
tas,2064,3.191057778643767,2.670523837043973,2.621340133835607,,2.093066453287875,3.0241423017982547,4.328982745237586,2.9637105584152152,3.330553039282369,2.4475482690507655,2.411602102426547,3.2751872539520264,3.5387991828016303,2.3351359649236323,,2.3098570162849796,2.625462277114636
tas,2065,3.1666071751318157,2.8221616018322067,2.7336368769827764,,2.1558307026215715,3.022716740173067,4.319583796409707,3.0535240043592133,3.2466995363871782,2.4424129292401204,2.418228171925444,3.38604998588562,3.687726855518837,2.267354041796011,,2.3329767288620453,2.4850505850312836
tas,2066,3.093272051456092,2.9835794809936877,2.6598154516552293,,2.021387972220405,3.291725652336974,4.38904936378196,3.30645279018988,3.464715015991677,2.4819111604156583,2.457789287367021,3.589625120162964,3.8012199104761444,1.9732201609647195,,2.4507251915342607,2.6537129252290206
tas,2067,3.18281505372857,3.0813407841755094,2.7660650325917686,,2.2232645698507647,3.1892516672458178,4.630152203683356,3.1961230799380567,3.7513180788732634,2.378765181386285,2.5732057741280983,3.483484983444214,3.7590875681369575,2.0518395534963125,,2.46507358667615,2.9280507500980755
tas,2068,3.2283025699742325,2.960702977272542,2.787527929753049,,1.9940246781106385,3.152878843546764,4.6697232887042714,3.249126101211232,3.7633588650682412,2.528324684611609,2.6640416542279532,3.4826176166534424,3.9025634688775597,2.2420210656634083,,2.5079288110445788,2.7436617521552904
tas,2069,3.3876271483785607,2.9995042274846875,2.79893673291213,,1.8362814921127655,3.4017569141450346,4.607005628705868,3.448401619694034,3.4357879432441556,2.47595402808885,2.629801421695319,3.5479252338409424,3.9036323890434894,2.412518208933046,,2.7802729903796197,2.977222604171345
tas,2070,3.327935171597474,3.0573259533408454,2.8480881904810595,,2.0518961827380573,3.2891390150326223,4.568050370236776,3.42907054260697,3.40799944399402,2.596188810693936,2.6916919613708075,3.3993122577667236,3.9945329386380166,2.5214836642362854,,2.766239334933952,3.0736515089051486
tas,2071,3.485565279359392,3.0830140600963367,2.8968297169588815,,2.211964877263535,3.335448819580037,4.521947970800966,3.3577687682330435,3.677985652839491,2.616921520286823,2.760397868175289,3.7418925762176514,3.954482438074564,2.1905073281862144,,2.6097355839110796,3.0218295709061778
tas,2072,3.421782885085136,3.1387564551250478,2.9512645857366,,2.3212483543329987,3.3907586422126883,4.615797555920598,3.242361602170419,3.886975780779835,2.7151239286086954,2.6862268869905868,3.9053828716278076,3.9118043769453976,2.1280859299122974,,2.5055587422203778,3.0217947948399435
tas,2073,3.429605671943937,3.2771841000909063,3.0432279747387887,,2.2722419591625616,3.525620044026539,4.781864322865853,3.3941390996387213,3.951405782484519,2.749677275348546,2.730618862761858,3.7643585205078125,4.011195842966558,2.356879518510136,,2.720222002506356,2.9752576296807924
tas,2074,3.5787860474411985,3.2843747735037994,2.9868830697314244,,2.244631704992026,3.668380942059713,4.889887336928136,3.463237565055645,3.7715727170105375,2.693053341396625,2.7363561151731375,3.8437702655792236,4.098680421738716,2.564015516403463,,2.8802349023957845,3.237691009475052
tas,2075,3.6461692123995655,3.117118877537147,2.981843593736523,,2.097627002225105,3.6677692468364094,4.997033174636982,3.700189322938575,4.084711249876634,2.7140298975203194,2.76247570760223,3.992487668991089,4.055803198569483,2.4904442536659226,,2.913226731636238,3.046038254718416
tas,2076,3.7009818944320614,3.144926765158677,3.0919580161809344,,2.3764346399154825,3.5796641344926408,4.833769275374057,3.3545287527943324,4.236237626617599,2.739092381839209,2.771538098059272,4.182853698730469,4.224199545829161,2.565186679253164,,2.8603227827039794,2.96060515756434
tas,2077,3.773457884275951,3.446007038287808,3.1250362277306984,,2.317434927476564,3.744628373616905,5.032621603071476,3.700255647673515,3.8530951490913736,2.693037007891031,2.7940398387057854,3.98938250541687,4.344960406182897,2.5783499938432186,,2.7081563850880506,3.0992399069885628
tas,2078,3.8234647916157862,3.5087253754429355,3.100202392203163,,2.254031405861317,3.593258184013886,5.052629665331125,3.9624249689309843,4.0040352553725755,2.8602250530313094,2.885792278957382,4.0540618896484375,4.270638354220168,2.6289829924277086,,2.84037402029117,3.2108551150399385
tas,2079,3.764383080559971,3.432079688770486,3.206302448852805,,2.241983486826849,3.405988864144092,5.233966986320946,3.94317363245897,4.273952816898245,2.8448231956877756,2.897289144822082,4.241549015045166,4.395495396972923,2.850656138334424,,2.99997350398525,3.11566470429257
tas,2080,3.8762998919292735,3.3617565222330654,3.2174833966243406,,2.2091184014436323,3.5945321066889258,5.259663224931472,3.616440211295133,4.324097211807853,2.8890965601476353,2.9071421421687234,4.033742427825928,4.436967561839197,2.840395988348007,,3.14940851667617,3.1134394894603523
tas,2081,3.9293393934695424,3.516821855611473,3.3293100109305365,,2.4002669831246712,3.829480007840227,5.368491106530712,3.7460981836926757,4.177760182742499,2.863752651933742,2.9186132695828064,4.157463073730469,4.438204115389297,2.6515923837192523,,3.1596550324317385,3.1601724604260446
tas,2082,4.017611428974604,3.4117109115336226,3.3759742197052227,,2.4340871597053897,3.880932962367036,5.397516947761517,3.9291862447931103,4.263473921823025,2.9373732963660424,3.0096740901743764,4.353627681732178,4.490646630755028,2.567653886340248,,3.2252967982768914,3.309192804949452
tas,2083,4.112125987197615,3.7076047569555612,3.44670590701953,,2.5601529890626247,3.9818033875113152,5.214651043831627,4.079476855413399,4.363413464067406,2.9665946301686716,3.0025164376947657,4.3800225257873535,4.490645338276484,2.5546117797449597,,3.1432637468108453,3.2496775965725297
tas,2084,4.224558819948148,3.876731978882598,3.5565809736110623,,2.3413358731542835,4.003544579235296,5.368306928650587,3.7646142663679143,4.711767099379405,2.947817880514885,3.00949614915505,4.4298577308654785,4.471869178032421,2.8438210614889337,,3.1990480140119595,3.3042394094559313
tas,2085,4.067661643861925,3.778989401026152,3.3907275109180026,,2.6417115143792054,3.9610018480174127,5.5783332571438065,3.957410435046645,4.388289054360935,3.0738687538356118,3.106952988646133,4.7140655517578125,4.498203740311827,2.8379286257169363,,3.3540216896498265,3.5617428367351542
tas,2086,4.30589514590019,3.8184932756412024,3.5681604330958216,,2.664081474605401,3.9966839278469877,5.606104774203767,4.1360357112168105,4.44056739975152,3.059107536512139,3.08775625433033,4.4345269203186035,4.505233923174312,2.5975673734451354,,3.5108557792199995,3.4940121596410827
tas,2087,4.339231215250559,3.6913364656953767,3.510478551813506,,2.6957914954190443,4.136389247774645,5.781539806032683,4.054590861583553,4.632629904295759,3.215305459270643,3.020162532410476,4.294580936431885,4.647629940663809,2.8549149450498468,,3.420813529395133,3.5382796404627754
tas,2088,4.329013856243667,3.8914020930581046,3.5099432450893744,,2.8172552169305476,4.2899723512098875,5.6808733017495525,4.234933752200457,4.892863447028669,3.067551193473861,3.165320682442522,4.547554016113281,4.8264842684346405,3.1705254100052778,,3.2768911606649738,3.6528073619893697
tas,2089,4.478575741193747,4.023305145302525,3.433872940302938,,2.7503597138793054,4.012945345215196,5.759428038009332,4.417749588507088,4.8815676643357095,3.066884774806885,3.185251786296154,4.731971740722656,4.859485174675162,2.93837290898657,,3.4854698212900623,3.6566421718585027
tas,2090,4.219859072756473,3.739570604302841,3.5783491513141334,,2.8999869572938572,4.290136242142907,5.87493589440902,4.143163511633962,4.42270013324223,3.3013308424243775,3.2735350368404093,4.882057189941406,4.891945484039231,2.800304450673844,,3.5451305579111554,3.5722835649525564
tas,2091,4.476080047888563,3.6957672964870816,3.5640958411333705,,2.967703399142929,4.373056401966015,6.014308096016658,4.1686117278479315,4.505786208493153,3.2180635132908244,3.293143497999916,4.7713494300842285,4.992686469491194,3.0275422726058423,,3.411668686161851,3.695644235610468
tas,2092,4.733691708264378,3.945615845553121,3.6497029894680253,,2.925150463414539,4.175528761398354,6.180941325300428,4.343472172369412,4.842733898773626,3.2842027157910585,3.3517861813594956,4.901158809661865,4.892894989924495,3.31696875157535,,3.371379046503089,3.6435687422096095
tas,2093,4.743006639906544,4.018788053320672,3.711090271681892,,2.7953615388229403,4.345032954037767,6.095086494997422,4.5921272865145495,5.242057295659246,3.4215421920085163,3.3415394830825327,5.285947322845459,4.9491473638714565,2.9128269206657458,,3.269105620448135,3.740091017785995
tas,2094,4.830584715941076,4.1862594119171535,3.8510928875615065,,2.537311591365698,4.495601307099132,6.193981705605935,4.815360781675968,5.134640682285441,3.462213560500871,3.364594044719979,5.2342376708984375,4.938598600854395,2.838351570845859,,3.4631876260398258,3.763110658273021
tas,2095,4.8114010478878795,4.109636565896376,3.930168820496893,,2.757463482861984,4.596477927972704,6.016745748137244,4.422704156636968,5.024042440008159,3.4085803454157904,3.3002557050976358,5.160514831542969,4.99862097083593,3.230390667910067,,3.4988949003369876,3.8319236424657106
tas,2096,4.797396745593365,4.112974926579672,3.8714425621717083,,2.864133768443447,4.584960651296053,6.083663732520951,4.572105133317867,5.153283524446981,3.5583346951959243,3.4546893494089326,5.3079400062561035,5.0771953102394844,3.390305402820497,,3.5305582407368425,3.760437300620945
tas,2097,4.7478989249696655,4.365828057331394,3.9322703294838797,,3.0549215182613048,4.592240643533017,6.28318883376086,4.918580891463397,5.326808181555307,3.59958163142727,3.4209690967262105,5.550191402435303,5.200516299950124,3.009169073383523,,3.7210430407413733,3.8168903024464194
tas,2098,4.92452122827909,4.309882153046293,3.9899315822631536,,2.9608052768272777,4.775959446545191,6.370596474432351,5.0578783144901065,5.032298412550479,3.4906376543349134,3.4543413600654276,5.36224365234375,5.2578616165853065,3.0701928531195883,,3.7620876901714744,3.604062830712062
tas,2099,5.006018888204001,4.400047462051954,4.074937698687819,,2.9874705788139075,4.569787226706708,6.467959568607,4.699800230566761,5.1331303108118975,3.664767997199997,3.5288199827083937,5.299835205078125,5.36057655964009,3.3300053588745064,,3.5891100931681925,3.860540151868856
tas,2100,5.023500584754771,4.545486505747372,3.901827093605211,,,4.841452837428174,6.423680458749108,4.75039365921504,5.3235721548790975,3.533011066521747,3.608758440371725,5.4342827796936035,5.340278912256873,3.642371819051675,,3.5562071106312536,4.0251140337655995
