,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2051,2.5965879222102948,2.4582604336502007,2.3683624734372253,1.5594337136566025,2.738242873293482,3.682062329365157,2.7829398607409765,2.92248824264531,2.233624886059038,2.9437082513850847,2.496799022163922,2.2341241181613802,3.0159225463867188,3.446145907274385,1.9309646884455276,1.998216235242656,2.3158371304443697
tas,2052,2.713730708545621,2.6424325548233205,2.283071594116393,1.7199518242683542,2.854316795058722,3.8062623219010354,2.929771625038967,3.0165458351317462,2.1031774227639204,3.0564430137876806,2.7621011867511718,2.167739221904346,3.1733779907226562,3.4620318681535687,1.776789259650035,2.108556164138913,2.4843910404543172
tas,2053,2.972734244511912,2.7117002429833215,2.391673146568413,1.9576066800447858,3.0060292097469223,3.821433415240596,2.730988931483097,3.186907017724318,2.392781691695172,3.0958949212717073,2.5675637109626592,2.2066190644313033,3.2163798809051514,3.467657923367218,1.8834564800331133,2.171638886698119,2.4979582940131073
tas,2054,2.854094676167103,2.7186903814113776,2.483842363378509,1.8817954128160228,3.0482699632381838,3.8902406922132022,2.7252806254468047,3.3832607972944166,2.5383084667055016,2.926877578986511,2.8101532974316634,2.336005577239945,3.1886062622070312,3.6268463670063418,2.0612049749413046,2.399394568020052,2.4818966282255843
tas,2055,2.886895051458737,2.8740508884774605,2.462191220134225,1.669962627739925,3.109116588470679,3.975148320284641,2.8207187261153592,3.380159268209212,2.50764819470524,3.0277323943163545,2.8342810521993536,2.416027106540208,3.2099761962890625,3.8043997255417232,2.2968139376399628,2.197525923672482,2.6127338936881777
tas,2056,3.061326369039269,2.8605061511743295,2.4965208715903295,1.8796356295863414,3.3003913471481354,4.270906868409033,2.913185068029771,3.126953405079538,2.4629354443579623,3.008354939190672,2.7155247952609187,2.451951256272134,3.5187480449676514,3.818589378211447,2.318546695981231,2.137053326566857,2.655093764314126
tas,2057,3.1066026116627747,2.7836280146992607,2.6652459819454557,1.8389269162491881,3.2513627437862644,4.303748697832286,2.894109738340243,3.289880515313513,2.472594896074824,3.1753068394543313,2.825967361659721,2.470403990267357,3.4784114360809326,3.7901759414664866,2.4831342930818323,2.226778625895207,2.677226936757416
tas,2058,3.342014916283418,2.927041523980743,2.732031561206526,1.9050190338398068,3.084042919724766,4.255079531655279,2.9085374244706137,3.4917718358864582,2.4718800819299154,3.355944298131386,2.8897766574757164,2.4798555789954313,3.4972355365753174,3.6965342703830544,2.1949340036672758,2.3453064411476277,2.663393423591998
tas,2059,3.3096332562405926,2.9639722224461544,2.732164936508994,2.1261052110346363,3.314317360624964,4.441726272534808,3.1400441932103624,3.638925199830709,2.6855857850432017,3.29100209941708,3.0304575699236977,2.5072450271773525,3.423553466796875,3.762868432731125,2.0342136592609847,2.4129463362675523,2.788411794541242
tas,2060,3.2921756485084708,3.1517056605440956,2.8836399878217143,2.050470170080748,3.447202801709622,4.482254824093052,3.4448316937111323,3.686848491027206,2.5692291361855695,3.3825655593263613,3.1607165503056933,2.5219922750603323,3.5850398540496826,3.8219025125159667,2.096549974132666,2.486347016108392,2.927814383044648
tas,2061,3.4132010996385134,2.927421632135529,2.8091839073597007,2.110470590977845,3.454066978387047,4.542991801142676,3.0779409929112282,3.2872148269152035,2.7412594095647855,3.469234022735909,3.022556515288926,2.707643015334019,3.450953245162964,3.7898678641859647,2.168106278513941,2.6196411719866006,2.793481509375899
tas,2062,3.4349226749342896,2.931446289365089,2.824439172643082,2.13425771654245,3.5641424698218933,4.581417649307109,3.130568759184906,3.4932448279780175,2.7558151392516756,3.4432047145920563,3.1103854505374735,2.7239660908630015,3.5830256938934326,3.935969143137806,2.344376581709691,2.59288335522236,2.9015545266272276
tas,2063,3.4989247898209945,3.0235624025130456,2.9322122535966124,2.2131665371378566,3.6273670014276576,4.5169804770978885,3.2353826059026574,3.5702138138400747,2.605033321683275,3.472378192098001,3.2685860773081905,2.728068334655821,3.8286540508270264,3.966788085740466,2.6913334338061126,2.512374990369319,3.0171379000359195
tas,2064,3.6497515322512206,3.09645336222601,2.9880261827662715,1.982138303686914,3.702713611430743,4.741583287089014,3.4805753837291227,3.813224676341264,2.6314833290627697,3.5649696332702896,3.2702293898194768,2.700184953166115,3.8615188598632812,4.063210007426496,2.441305433421121,2.603795321560412,2.9204436253151584
tas,2065,3.4568620044043854,3.256803792393294,3.055024342596179,2.156002210246266,3.9708974812823308,4.74980502543158,3.224352463856434,3.864732206104487,2.615606551991751,3.610362114143238,3.2163337909608507,2.8855658288534207,3.860265016555786,4.014349475980268,2.1440976639869027,2.7700191613877982,3.1111281698335254
tas,2066,3.570547339174079,3.327125417988171,3.0068558752683807,2.036427707784663,3.8928002745976094,4.954943538608187,3.3485896556348678,3.947673639583376,2.609161490132152,3.71608169375169,3.3751978372841998,2.9863535580081524,4.137092590332031,4.132907896554656,2.4595725249823155,2.8042975114285156,3.081640712284534
tas,2067,3.800600271540238,3.1687181079136812,3.0540448969204683,2.1987925953462337,3.8350263865230496,5.101669167755389,3.7490121828827654,3.9056883577310657,2.74944170024618,3.7892163164927504,3.435869265862493,3.0531592181102667,4.0976738929748535,4.209774425457439,2.5836740431241054,2.653139217376008,3.2381535245614637
tas,2068,3.6841683727560244,3.3750984888587916,3.1771036403232245,2.305431254989353,3.974452418594344,4.931229370655591,3.72867590360021,4.281519382725951,2.808042378638613,3.925648357729609,3.5869032570015142,2.9531864385675752,4.1401848793029785,4.251096234450557,2.4699770688395497,2.7043783364529568,3.3742283961999724
tas,2069,3.988575233801631,3.5989928502192137,3.2494568281984093,2.5225650107206214,3.9614136682113403,5.11897933533389,3.58312541022372,4.293966028667664,2.8331673746497663,3.798805828661765,3.3710274292276714,2.985861333895187,4.184084415435791,4.417838009286811,2.7280024622036527,2.8701265568404892,3.233834663316846
tas,2070,4.014860294130211,3.5568913905000223,3.2818795077841494,2.4288805145381596,4.164416656296439,5.4269561896437795,3.7753721644022655,4.073198983940865,2.8851999486368762,3.8724938014818946,3.531888224304732,3.06634151251356,4.37006139755249,4.396040753841788,2.9189919150998094,3.300870492907322,3.2919503035866264
tas,2071,4.239888342024433,3.745155138738312,3.196125720385704,2.5503045757158085,4.2697740218488365,5.4715637018689405,4.035887511473031,4.125400163628451,2.8393774842449204,4.08405193443672,3.480245208004424,3.065164222388333,4.570284366607666,4.571651826365861,2.5808549389201736,3.0912662987556465,3.2718555473391624
tas,2072,4.118162639626746,3.719260973500193,3.364371103254546,2.6120945892557472,4.459770467097836,5.2697959116965665,3.7454150321387893,4.489462027608103,2.9225285891242456,4.2516884505175865,3.625996015780634,3.2021423872536587,4.501546382904053,4.708552463228211,2.65808731658457,2.829192986535181,3.3146931737961958
tas,2073,4.166403818818101,3.9099715859564363,3.4362439163876295,2.422545348663249,4.4088894315872365,5.561981488055385,3.844715411700676,4.5891578185127555,2.9208470022729265,4.386913843807055,3.6609568820933447,3.1471117142827203,4.439290523529053,4.518296754174443,2.870392583115882,2.8464620503257314,3.5222638938847126
tas,2074,4.27206773858651,3.8478068551440097,3.3661247596024757,2.3543118386741404,4.500950394300792,5.673834647965464,4.089696328923343,4.3679132549517545,2.994634320655379,4.308168768294512,3.5166072584051022,3.146241987759732,4.5582275390625,4.6791410739033426,2.9900439922017483,3.1872643686480493,3.5473891773258828
tas,2075,4.386176846963882,3.668468684404502,3.485574150352022,2.290963801318265,4.556337091398376,5.6727601857995085,4.351375165243283,4.351779747656191,2.9873493704579723,4.125204161439584,3.549544080229263,3.299402487413687,4.446998596191406,4.754364543724203,3.2320898604252997,3.493846858405026,3.5324964558216436
tas,2076,4.381354555026206,3.75741711327881,3.501564652157209,2.5803874436484713,4.656137980492981,5.694579896422989,4.075983424406118,4.707484188780849,3.0006368621374264,4.420074156762301,3.839584861553026,3.2553542948564314,4.6303229331970215,4.734376764406524,2.9623462913859413,3.2941885455122275,3.6048947057795337
