,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3
tas,2076,2.3498278774484853,1.9746091184724766,1.7399471031637432,1.4958885994708073,2.334735038112484,2.8492402347063006,2.1930895789337606,2.441117494736725,1.495178370774184,2.0502420498873826,1.5677744996391045,2.555292844772339,2.772339682770834,1.4952513185798324,1.570925366072359,1.869171083035899,2.0067205072368686
tas,2077,2.382933539984459,1.9553700014169995,1.8043382415371998,1.5821249492169471,2.347122005670954,2.8885093334271468,2.061995369178817,2.5830843731086426,1.448712467710403,2.219986895513543,1.5105346717395918,2.5491561889648438,2.785460419185133,1.6601005367240778,1.6012933918613992,1.8610181503445726,2.169539450503597
tas,2078,2.488437307558641,2.1060911882184477,1.706075159480766,1.4523353970221013,2.1696891583474716,2.9367535916518697,2.1959395553081387,2.3290100114546277,1.3715216458059747,2.304192493339523,1.4848145360999894,2.274378538131714,2.8594893231690244,1.66587717701366,1.594619190337023,1.985399950196997,2.115883717240351
tas,2079,2.6282132912389975,2.010097988542521,1.732551222341267,1.1004669913804246,2.3835112138521786,2.936288130457129,2.243474105589035,2.2926446347996765,1.4420970564168367,2.23425918821277,1.5493602747581197,2.494598388671875,2.8517886250195184,1.4141541336977543,1.6334785707302995,1.9089288328512215,1.9229986003919255
tas,2080,2.412398424102013,2.0123414461074276,1.6927079990736047,1.2102103636868928,2.478920640159714,2.9117358868002348,2.069533681770409,2.512456247486502,1.4448699789436243,2.1595127541930927,1.4912972593782616,2.6640498638153076,2.958963430198409,1.4252805747833672,1.5518736279922507,1.9206143212629456,1.9407551464904789
tas,2081,2.3931594752100835,2.0185304648567333,1.5891376333668272,1.4401285515883397,2.1748830667532624,2.8430465608490985,2.07460995610027,2.6321654076942878,1.5114507109335638,2.3698332452076727,1.4767270422829313,2.4857966899871826,3.0374152720763496,1.553480612450187,1.6671062990978147,1.785906227820642,2.125424960767892
tas,2082,2.474361306455677,2.000003986257378,1.637685480911993,1.4368220150247453,2.2385175874623684,2.930664396575011,2.300864468172714,2.7101346964237174,1.445323611752703,2.2051659668244903,1.4457402693015762,2.5667903423309326,3.1295263744715434,1.5450908344759522,1.5233614939380828,1.7037558100383545,2.1157325393546764
tas,2083,2.4026995069258796,2.015483053099601,1.6326666886082772,1.5050251509703447,2.600753500620281,2.8105219609994188,2.2388349029638257,2.6123934570849676,1.5431856190509687,2.2824253887337655,1.510743495597178,2.5681278705596924,2.9534145000885608,1.5137534387363587,1.5544899403871095,1.8146334385729073,2.0478453867658146
tas,2084,2.5377813822593205,2.0743957743923196,1.6720778952219792,1.3622803994964225,2.565311165622608,2.881480360429952,1.7787892394077147,2.4865105450062592,1.62455433685336,2.3772089149425475,1.563995176997646,2.4684066772460938,3.068762612863613,1.3984172887827857,1.5338629101820846,1.9613973472005266,2.0557309992147785
tas,2085,2.4187690239366284,2.1850660749192485,1.7158831657264006,1.451685058953089,2.454640495572837,3.1291744422696106,2.006773610093641,2.5145388948227585,1.584696388618345,2.373127933901339,1.4876041338194455,2.297149658203125,2.9976408440877833,1.5157174367173905,1.392327253463274,1.796788377454817,2.188101200741722
tas,2086,2.5074734217652264,2.2150336599731872,1.6244200687106058,1.4367211954466228,2.5882248860484176,3.1511848435053005,1.8862377830777082,2.391106373178161,1.5372362815882685,2.170980505140932,1.4773873009895577,2.222262144088745,2.9684937188367875,1.7826209332733878,1.336191682741197,1.830358138264387,2.2827225646120155
tas,2087,2.5156102444885042,2.0537800973680476,1.660903699342337,1.5115449109231112,2.329768113577193,2.8027281530934354,2.116969938052103,2.534897719837782,1.419826530996815,2.2586501059038397,1.5345117043662242,2.4164657592773438,3.0530099343804644,1.3771951582734516,1.484231875662952,1.8718367496161221,2.2054957747574044
tas,2088,2.4843563389509504,1.9221743945597798,1.552930425638105,1.4493688337604833,2.4631821755094783,2.6348752582520234,2.060901867043384,2.781679951300859,1.4404362743176808,2.161521100563533,1.4740852841320873,2.520657777786255,3.014961345096206,1.2713905949840079,1.5552624816344576,1.8244904441160799,1.9577640659251425
tas,2089,2.526662460351299,2.020835554521303,1.4648536538827368,1.1890623184125104,2.4726115579324244,2.7631104820468173,1.9239213077447868,2.5126671455890395,1.4272580458442927,2.073690164207401,1.4807935631779827,2.37615966796875,2.9854850378546396,1.3883548855869965,1.501511740476019,1.8074309737691767,1.8799728210156796
